cut,carat
Very Good,1.65
Ideal,2.54
Ideal,1.51
Premium,2.01
Premium,2.12
Good,1.5
Ideal,2.04
Premium,1.72
Premium,1.51
Very Good,1.57
Ideal,1.25
Ideal,1.91
Ideal,1.5
Premium,1.52
Ideal,2.12
Good,1.51
Ideal,1.62
Premium,1.37
Ideal,2.02
Very Good,2.03
Ideal,2.03
Premium,1.53
Ideal,1.56
Ideal,2.01
Ideal,1.74
Ideal,2.14
Premium,1.13
Good,1.7
Ideal,1.11
Ideal,1.5
Very Good,1.52
Ideal,1.53
Ideal,1.3
Very Good,1.32
Ideal,2.02
Premium,1.7
Ideal,1.7
Premium,1.51
Premium,1.51
Premium,1.52
Premium,1.51
Ideal,1.51
Ideal,2.05
Ideal,1.39
Ideal,1.3
Premium,2.2
Ideal,1.1
Premium,2.13
Good,1.5
Good,1.71
Ideal,2.28
Premium,1.51
Good,1.51
Premium,1.51
Very Good,1.51
Ideal,2.01
Ideal,1.52
Fair,2
Very Good,2.03
Premium,2.05
Very Good,2
Premium,2.23
Premium,1.73
Very Good,2.11
Very Good,1.65
Ideal,1.19
Ideal,2.07
Very Good,1.51
Very Good,1.64
Good,1.54
Ideal,1.5
Premium,1.5
Good,1.5
Premium,1.2
Premium,1.5
Fair,1.5
Ideal,1.13
Very Good,1.71
Ideal,1.53
Premium,2.14
Premium,2.04
Ideal,1.19
Very Good,1.5
Good,2.02
Very Good,1.58
Fair,2.04
Premium,1.54
Ideal,1.56
Ideal,1.57
Ideal,1.57
Fair,2.29
Premium,1.9
Ideal,2.01
Ideal,1.91
Very Good,1.66
Premium,1.64
Ideal,1.5
Premium,1.5
Very Good,1.81
Premium,1.52
Premium,1.52
Premium,1.52
Ideal,1.31
Good,2.18
Ideal,1.62
Fair,1.51
Ideal,2.01
Very Good,2.01
Premium,2.01
Premium,2.01
Ideal,1.72
Premium,1.51
Ideal,2.26
Premium,2.02
Ideal,2.02
Very Good,1.7
Very Good,2.05
Very Good,1.52
Ideal,1.52
Ideal,1.28
Premium,2.06
Ideal,1.78
Very Good,1.58
Premium,2.03
Very Good,2.01
Very Good,1.59
Ideal,1.51
Ideal,1.23
Ideal,1.53
Premium,1.53
Very Good,2.18
Premium,2.05
Ideal,1.62
Very Good,1.5
Premium,2.03
Ideal,1.56
Ideal,1.01
Very Good,1.5
Good,1.5
Ideal,1.6
Premium,1.51
Premium,1.51
Very Good,1.51
Very Good,1.51
Very Good,1.7
Very Good,1.7
Premium,1.72
Ideal,2.48
Premium,2.08
Ideal,2.02
Very Good,1.42
Premium,2.05
Very Good,1.15
Premium,1.64
Ideal,1.58
Premium,2.01
Premium,1.51
Premium,1.49
Very Good,1.2
Very Good,1.51
Ideal,1.22
Ideal,2
Ideal,1.53
Very Good,2.28
Ideal,1.52
Fair,2
Ideal,1.63
Ideal,1.19
Very Good,2.02
Very Good,1.52
Good,1.75
Premium,2.23
Fair,1.98
Good,2.02
Good,2.02
Premium,2.06
Premium,1.73
Ideal,1.3
Very Good,2.11
Ideal,2.27
Premium,1.81
Premium,2
Ideal,1.39
Good,2.3
Ideal,1.67
Ideal,1.51
Fair,1.51
Premium,1.51
Ideal,1.55
Ideal,1.11
Ideal,1.11
Ideal,1.28
Premium,1.52
Ideal,1.52
Good,2.34
Premium,2.01
Good,2.01
Good,1.3
Very Good,2.01
Very Good,1.52
Premium,1.53
Premium,2.18
Premium,2.14
Ideal,1.59
Ideal,1.71
Ideal,1.54
Premium,2.03
Premium,2.13
Very Good,1.51
Very Good,1.78
Ideal,1.53
Premium,1.79
Good,2.01
Premium,1.52
Premium,2
Very Good,1.5
Ideal,1.16
Ideal,1.63
Ideal,1.58
Premium,1.7
Premium,1.7
Ideal,1.01
Ideal,1.7
Very Good,1.73
Premium,1.72
Very Good,1.5
Very Good,1.52
Premium,2.01
Ideal,1.25
Ideal,2.15
Fair,2.1
Very Good,2.1
Premium,2
Premium,1.5
Good,1.51
Very Good,1.51
Premium,1.58
Very Good,1.2
Fair,2.07
Ideal,1.77
Premium,2.44
Ideal,1.22
Ideal,1.23
Ideal,1.5
Premium,1.52
Premium,1.52
Very Good,1.58
Very Good,1.5
Premium,1.74
Ideal,2.08
Very Good,2
Premium,2.11
Very Good,1.61
Good,1.75
Ideal,1.5
Premium,2.01
Ideal,1.05
Good,0.41
Good,0.41
Very Good,0.41
Good,0.41
Very Good,0.3
Ideal,0.3
Very Good,0.3
Very Good,0.3
Very Good,0.3
Very Good,0.3
Good,0.3
Ideal,0.3
Ideal,0.4
Ideal,0.32
Ideal,0.32
Ideal,0.32
Ideal,0.41
Ideal,0.38
Ideal,0.38
Premium,0.31
Premium,0.31
Very Good,0.3
Very Good,0.3
Very Good,0.31
Very Good,0.31
Very Good,0.31
Very Good,0.3
Very Good,0.3
Very Good,0.38
Ideal,0.31
Ideal,1.03
Ideal,1.39
Ideal,1.67
Very Good,2.03
Very Good,2.03
Ideal,2.14
Premium,2.2
Very Good,1.51
Premium,2.02
Good,1.71
Premium,2.23
Premium,2.11
Premium,1.51
Premium,1.51
Premium,1.53
Premium,1.72
Premium,1.56
Very Good,1.51
Premium,1.75
Premium,2.17
Premium,1.77
Ideal,1.2
Premium,2.09
Premium,1.91
Very Good,2.26
Ideal,1.25
Premium,1.71
Ideal,1.71
Premium,2
Very Good,1.96
Very Good,1.73
Premium,1.79
Premium,1.5
Good,2.03
Ideal,2.02
Very Good,2.01
Ideal,1.54
Very Good,1.13
Premium,1.5
Very Good,2
Ideal,1.51
Premium,2.02
Premium,2.02
Premium,2.09
Premium,1.53
Premium,1.54
Premium,1.72
Premium,1.7
Ideal,2.02
Premium,1.58
Premium,2.01
Premium,2
Very Good,1.83
Premium,1.51
Ideal,1.5
Ideal,1.5
Ideal,1.5
Ideal,1.6
Good,2.02
Premium,2.13
Very Good,1.71
Ideal,1.52
Ideal,1.5
Good,1.51
Ideal,2.75
Ideal,1.51
Premium,1.51
Good,1.5
Very Good,1.52
Ideal,1.51
Premium,2
Ideal,1.51
Ideal,1.2
Ideal,1.31
Very Good,1.71
Ideal,1.55
Premium,1.62
Premium,1.56
Ideal,1.24
Premium,2.03
Premium,2.03
Ideal,2.03
Ideal,2.1
Good,1.63
Very Good,1.53
Ideal,1.71
Premium,1.51
Premium,1.51
Very Good,1.54
Ideal,1.71
Premium,2.06
Premium,2.01
Very Good,1.27
Ideal,2.29
Ideal,2.01
Very Good,2
Premium,3
Premium,2.14
Very Good,2.08
Premium,1.53
Premium,1.52
Very Good,1.63
Premium,2.09
Ideal,1.51
Very Good,1.52
Premium,2.01
Premium,1.73
Premium,1.51
Very Good,1.53
Premium,2.01
Very Good,1.53
Premium,2.01
Premium,2.03
Ideal,2.02
Premium,2.02
Ideal,1.35
Good,1.5
Premium,2.11
Ideal,1.51
Very Good,1.5
Good,2.33
Ideal,1.7
Good,1.53
Very Good,1.53
Premium,1.51
Premium,2.17
Ideal,1.73
Ideal,1.38
Premium,1.73
Very Good,1.63
Ideal,2.01
Ideal,1.51
Ideal,1.83
Premium,1.7
Ideal,1.18
Ideal,1.32
Ideal,2
Premium,2.18
Premium,2.02
Very Good,2.01
Good,1.51
Very Good,1.93
Fair,2.5
Fair,2.5
Ideal,1.52
Premium,1.52
Very Good,1.54
Good,2.02
Very Good,1.5
Premium,1.52
Good,1.71
Premium,1.57
Ideal,1.64
Ideal,1.55
Premium,1.54
Premium,1.51
Premium,1.62
Ideal,1.59
Premium,1.62
Premium,1.7
Premium,1.56
Premium,2.12
Good,1.5
Very Good,1.01
Premium,1.54
Good,2.15
Premium,2.06
Premium,2.15
Premium,1.27
Ideal,2
Very Good,2
Good,2
Ideal,2
Premium,1.2
Very Good,2.01
Ideal,1.53
Ideal,1.51
Premium,1.71
Premium,2.14
Premium,1.58
Premium,1.58
Ideal,1.52
Premium,1.5
Ideal,1.51
Very Good,1.51
Good,1.99
Very Good,2.1
Premium,2.01
Ideal,1.06
Very Good,1.51
Ideal,2
Ideal,1.51
Premium,2.19
Ideal,2.03
Ideal,1.28
Premium,1.75
Ideal,1.63
Premium,1.73
Premium,1.91
Premium,1.91
Ideal,1.53
Very Good,1.53
Premium,2.21
Fair,2.13
Premium,2.13
Very Good,1.5
Ideal,2.07
Ideal,1.68
Premium,1.71
Ideal,1.5
Very Good,1.51
Very Good,1.5
Fair,2.01
Premium,2.01
Premium,2.01
Ideal,2.01
Premium,1.52
Ideal,1.75
Premium,2.17
Ideal,1.58
Ideal,2.03
Ideal,1.7
Fair,2.02
Premium,2.01
Premium,2.01
Ideal,2.1
Premium,1.11
Ideal,1.31
Premium,1.7
Premium,1.86
Premium,2
Ideal,1.55
Premium,2.14
Premium,1.53
Ideal,1.68
Ideal,1.5
Ideal,1.58
Premium,2.08
Ideal,1.37
Fair,2
Premium,1.68
Very Good,1.71
Ideal,1.71
Premium,1.5
Ideal,2.02
Premium,2.02
Premium,2.12
Ideal,1.57
Ideal,2.1
Good,2.01
Very Good,2.01
Ideal,1.73
Ideal,1.2
Premium,1.51
Premium,2.04
Ideal,1.71
Good,2
Premium,1.52
Ideal,1.13
Ideal,1.29
Premium,1.75
Premium,1.72
Very Good,2.01
Very Good,2.07
Ideal,2.01
Very Good,2.02
Good,1.72
Good,1.72
Very Good,1.51
Very Good,2.09
Very Good,2.33
Fair,2.02
Very Good,1.76
Premium,1.5
Premium,1.5
Ideal,1.54
Ideal,2.2
Premium,1.5
Good,1.51
Very Good,1.5
Ideal,1.29
Premium,1.52
Ideal,2
Ideal,1.51
Ideal,1.25
Very Good,1.5
Ideal,1.22
Premium,2.14
Very Good,2
Good,2
Good,2
Premium,2.05
Ideal,1.55
Good,2.04
Premium,2
Fair,1.5
Premium,2.22
Ideal,1.61
Very Good,2.02
Very Good,2.02
Ideal,0.38
Ideal,0.3
Ideal,0.3
Ideal,0.3
Fair,0.3
Premium,0.23
Premium,0.23
Premium,0.4
Very Good,0.34
Very Good,0.3
Very Good,0.31
Very Good,0.36
Ideal,0.27
Ideal,0.34
Ideal,0.4
Good,0.34
Good,0.38
Premium,0.38
Premium,0.3
Premium,0.3
Premium,0.3
Ideal,0.3
Good,0.3
Premium,0.3
Ideal,0.3
Very Good,0.3
Ideal,0.3
Very Good,0.3
Very Good,0.3
Premium,0.38
Very Good,1.63
Premium,2.17
Ideal,1.58
Premium,2.3
Premium,1.81
Premium,2.41
Very Good,2.02
Premium,2.01
Ideal,2.01
Premium,2.01
Premium,1.62
Very Good,2.22
Premium,1.61
Very Good,1.83
Fair,2.01
Good,2.01
Fair,2.01
Ideal,1.06
Ideal,1.06
Ideal,1.51
Ideal,1.16
Ideal,1.21
Very Good,2.01
Good,1.5
Very Good,1.5
Ideal,1.2
Very Good,2.25
Premium,2.11
Premium,1.36
Premium,2.01
Premium,2.04
Good,1.5
Ideal,1.7
Premium,1.52
Very Good,1.88
Premium,1.54
Very Good,2.04
Premium,1.72
Premium,2.01
Ideal,2.21
Premium,2.01
Good,2.03
Very Good,2.15
Very Good,1.72
Good,1.72
Fair,1.72
Very Good,1.51
Ideal,1.25
Very Good,1.51
Premium,1.76
Very Good,1.5
Ideal,1.53
Very Good,1.21
Very Good,1.59
Ideal,1.7
Premium,1.51
Premium,2.21
Premium,2.02
Ideal,1.69
Ideal,1.51
Good,1.5
Ideal,1.23
Ideal,1.5
Good,2.32
Very Good,2.02
Very Good,1.78
Ideal,1.71
Ideal,1.21
Ideal,1.55
Premium,1.71
Premium,2.05
Very Good,2.01
Ideal,1.26
Premium,2.07
Ideal,2
Premium,2
Premium,2.02
Premium,1.63
Premium,1.5
Ideal,1.7
Good,1.51
Very Good,1.51
Premium,2.02
Very Good,1.77
Very Good,2.01
Very Good,2.02
Premium,2.11
Fair,2.29
Premium,1.62
Premium,2.22
Ideal,2.22
Very Good,1.5
Premium,2.29
Premium,1.83
Ideal,1.57
Ideal,1.53
Premium,2.2
Premium,1.5
Premium,1.5
Good,1.5
Premium,1.5
Fair,2.01
Ideal,1.56
Very Good,1.3
Ideal,2.29
Very Good,1.5
Premium,1.4
Premium,2.07
Very Good,2.08
Premium,1.54
Premium,2.04
Very Good,1.54
Premium,1.5
Premium,1.7
Premium,1.7
Premium,2.01
Fair,2.01
Premium,2.15
Ideal,1.51
Premium,2.1
Premium,2.01
Ideal,1.7
Very Good,1.51
Premium,1.51
Very Good,1.51
Premium,2.13
Ideal,1.54
Ideal,1.74
Fair,2
Fair,2
Premium,1.7
Premium,2.05
Premium,1.52
Ideal,1.52
Ideal,2.18
Ideal,1.51
Premium,1.51
Ideal,1.52
Ideal,2.01
Premium,1.84
Very Good,2.17
Very Good,2.22
Good,2.61
Premium,2.07
Premium,2.07
Premium,2.07
Ideal,1.56
Premium,2.04
Very Good,2.04
Very Good,2.1
Ideal,1.54
Ideal,2.01
Very Good,2.26
Very Good,1.52
Premium,2.07
Ideal,1.24
Ideal,2.09
Ideal,1.52
Very Good,1.51
Premium,2.01
Ideal,1.51
Very Good,1.51
Premium,1.51
Very Good,2.18
Premium,2.02
Premium,1.82
Ideal,1.51
Very Good,1.71
Good,1.51
Ideal,1.5
Premium,2
Ideal,1.7
Ideal,1.27
Premium,1.22
Very Good,2.04
Fair,2.14
Premium,2.24
Premium,1.51
Ideal,1.51
Premium,1.51
Premium,2.31
Premium,2.01
Ideal,1.59
Ideal,2.14
Premium,2.07
Good,1.5
Ideal,1.54
Fair,2.52
Very Good,2.01
Good,2.01
Premium,2.02
Ideal,1.6
Good,1.5
Fair,1.5
Premium,1.5
Very Good,2.03
Premium,2.09
Very Good,2.02
Premium,1.76
Very Good,1.58
Premium,2.21
Ideal,1.69
Premium,1.43
Ideal,1.61
Ideal,2.07
Ideal,2.03
Ideal,1.69
Premium,2.12
Premium,2.26
Ideal,1.67
Very Good,1.5
Very Good,2
Good,1.5
Ideal,1.52
Good,1.52
Very Good,1.71
Premium,1.84
Ideal,2.28
Premium,2.06
Ideal,1.79
Ideal,1.55
Premium,2.06
Ideal,1.58
Good,2.2
Premium,1.9
Premium,2.28
Premium,1.52
Ideal,2
Very Good,2.26
Ideal,1.53
Good,2.01
Ideal,1.24
Premium,2.1
Premium,2.23
Ideal,2.09
Premium,2.18
Premium,1.82
Very Good,2.01
Premium,1.6
Very Good,1.51
Premium,1.51
Premium,1.51
Premium,1.51
Very Good,2.06
Ideal,1.7
Ideal,1.58
Premium,1.71
Very Good,1.25
Good,2.08
Very Good,1.5
Very Good,1.58
Ideal,1.21
Ideal,1.13
Very Good,1.71
Good,2.01
Good,2.19
Premium,2.21
Premium,2
Ideal,1.51
Premium,2
Premium,2.02
Premium,2.02
Premium,2.07
Good,2.07
Ideal,1.08
Ideal,1.53
Ideal,1.51
Premium,1.58
Very Good,2.13
Premium,2.11
Good,1.5
Ideal,1.67
Ideal,1.71
Ideal,1.63
Premium,2.09
Good,1.5
Ideal,2.02
Good,2.02
Very Good,1.51
Ideal,1.59
Premium,2.21
Ideal,1.08
Ideal,1.75
Ideal,1.2
Ideal,2.05
Ideal,1.52
Ideal,1.55
Ideal,2.01
Premium,2.3
Premium,2.3
Good,2
Ideal,1.58
Premium,2.08
Very Good,2
Premium,1.7
Ideal,2.03
Very Good,2.14
Ideal,1.76
Very Good,1.52
Premium,2.01
Good,0.3
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.31
Very Good,0.31
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.28
Very Good,0.32
Ideal,0.28
Ideal,0.28
Ideal,0.28
Ideal,0.28
Ideal,0.28
Ideal,0.39
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,1.5
Premium,1.3
Premium,1.5
Very Good,2.05
Premium,1.5
Premium,1.5
Ideal,1.5
Very Good,2
Fair,2.02
Ideal,2.03
Good,2.08
Ideal,1.5
Premium,2.22
Very Good,1.26
Ideal,2.01
Ideal,1.54
Premium,1.5
Premium,1.5
Premium,1.52
Ideal,1.55
Premium,1.64
Premium,2.29
Ideal,2.05
Very Good,1.51
Very Good,2.06
Ideal,2.06
Very Good,2.01
Premium,2
Premium,1.79
Premium,2.23
Ideal,2.04
Very Good,1.7
Ideal,2.14
Premium,1.56
Good,1.7
Ideal,2.36
Good,1.51
Very Good,2.01
Ideal,1.67
Premium,1.51
Premium,1.5
Very Good,1.51
Very Good,1.51
Premium,1.51
Very Good,1.51
Very Good,1.51
Ideal,2.01
Premium,1.51
Ideal,1.55
Very Good,1.81
Premium,1.5
Premium,1.57
Ideal,2.02
Premium,2.04
Ideal,1.55
Premium,2.35
Premium,1.54
Premium,1.71
Very Good,1.68
Premium,1.2
Fair,2.5
Premium,1.3
Ideal,1.5
Ideal,1.5
Premium,1.5
Premium,2
Fair,2
Premium,1.5
Premium,1.5
Premium,1.64
Very Good,1.51
Fair,2
Premium,2
Good,2.51
Premium,2.02
Premium,1.53
Ideal,2.3
Very Good,1.52
Good,2.28
Ideal,1.55
Premium,3.01
Premium,2.05
Premium,1.66
Very Good,2.1
Ideal,1.4
Premium,1.5
Premium,1.5
Very Good,1.36
Premium,1.64
Ideal,1.56
Premium,2.02
Very Good,2.03
Premium,2.02
Premium,1.69
Ideal,1.5
Very Good,1.5
Ideal,1.85
Ideal,1.51
Premium,1.51
Good,2.27
Good,2.51
Very Good,1.5
Very Good,1.5
Premium,2.23
Ideal,1.7
Good,2.16
Ideal,2.14
Premium,1.56
Very Good,1.7
Ideal,2.2
Ideal,2.18
Ideal,1.54
Premium,2.01
Ideal,1.5
Very Good,1.53
Ideal,1.57
Good,2.22
Ideal,1.71
Premium,1.52
Premium,1.51
Ideal,1.51
Premium,1.51
Premium,1.51
Premium,1.51
Very Good,1.52
Very Good,2.06
Premium,2.21
Ideal,1.26
Ideal,1.2
Premium,1.51
Premium,1.72
Ideal,1.5
Very Good,1.58
Very Good,1.87
Ideal,2.03
Premium,1.71
Premium,2
Ideal,2.14
Ideal,2
Premium,2.16
Premium,1.64
Premium,2.02
Premium,1.51
Very Good,1.51
Very Good,2
Very Good,2.7
Ideal,1.61
Premium,2.02
Premium,1.53
Ideal,2.25
Premium,2.02
Good,2.28
Premium,2.55
Premium,1.5
Premium,1.66
Very Good,1.75
Ideal,2.14
Premium,2.1
Very Good,1.5
Premium,2.27
Premium,2.01
Ideal,2.01
Very Good,1.5
Premium,1.5
Premium,1.5
Ideal,1.5
Premium,1.51
Premium,1.51
Ideal,1.51
Ideal,1.85
Very Good,1.6
Very Good,1.86
Ideal,2.09
Very Good,1.55
Ideal,1.62
Premium,1.5
Premium,1.5
Premium,1.5
Ideal,2.15
Premium,1.52
Premium,2.1
Ideal,1.75
Good,2.14
Premium,2.35
Very Good,1.62
Fair,2.01
Very Good,2
Very Good,1.63
Premium,2
Ideal,1.12
Ideal,2.2
Premium,1.97
Premium,2.05
Very Good,1.52
Ideal,1.22
Premium,1.72
Ideal,1.51
Very Good,1.51
Ideal,2.22
Ideal,2.54
Premium,1.52
Premium,1.52
Good,2.01
Very Good,2.01
Good,1.71
Ideal,1.52
Premium,2.01
Ideal,2.06
Ideal,1.26
Ideal,1.43
Fair,2
Ideal,1.2
Very Good,1.54
Premium,1.54
Premium,2.01
Good,1.7
Premium,1.62
Premium,1.58
Good,2.14
Ideal,2.14
Premium,2.17
Premium,1.58
Ideal,1.65
Premium,2.08
Premium,1.51
Ideal,1.6
Premium,2.07
Very Good,2.04
Good,1.73
Very Good,1.51
Ideal,1.51
Ideal,1.52
Premium,1.51
Very Good,1.51
Ideal,1.51
Ideal,1.51
Ideal,1.51
Premium,1.53
Premium,1.5
Premium,2.06
Very Good,1.94
Premium,2.14
Ideal,1.04
Ideal,1.58
Very Good,2.02
Ideal,1
Ideal,2.29
Ideal,2.5
Premium,2.01
Premium,2.01
Premium,2.01
Ideal,2.12
Ideal,2.06
Premium,1.51
Ideal,1.51
Premium,1.51
Ideal,2.15
Ideal,1.13
Very Good,2.04
Very Good,2.04
Very Good,1.5
Ideal,1.54
Ideal,2.15
Ideal,2.01
Ideal,1.51
Ideal,1.51
Premium,1.51
Premium,1.97
Premium,2.51
Premium,2.51
Premium,1.52
Very Good,1.82
Ideal,2.03
Very Good,2.14
Premium,2.01
Ideal,2.01
Premium,2.01
Very Good,1.77
Good,1.5
Premium,2.02
Premium,2.02
Premium,1.52
Premium,1.54
Ideal,2.03
Ideal,1.98
Ideal,1.98
Premium,2.09
Ideal,1.11
Premium,1.5
Premium,2.03
Very Good,1.5
Ideal,1.34
Ideal,2.2
Ideal,1.65
Good,2.01
Very Good,2.3
Very Good,1.95
Ideal,1.7
Premium,2.04
Premium,1.7
Ideal,0.31
Ideal,0.31
Very Good,0.3
Ideal,0.31
Very Good,0.33
Ideal,0.37
Good,0.33
Premium,0.36
Ideal,0.34
Very Good,0.3
Very Good,0.38
Very Good,0.4
Very Good,0.32
Ideal,0.4
Ideal,0.36
Fair,0.4
Ideal,0.33
Very Good,0.35
Premium,0.35
Premium,0.35
Good,0.34
Ideal,0.35
Very Good,0.35
Ideal,0.35
Ideal,0.35
Premium,0.35
Very Good,0.35
Ideal,0.35
Ideal,0.35
Ideal,0.35
Premium,2.11
Ideal,1.51
Ideal,1.35
Ideal,1.5
Very Good,2.02
Ideal,1.7
Ideal,1.58
Very Good,2.17
Ideal,1.04
Premium,2.06
Very Good,2.01
Ideal,2.03
Ideal,2.22
Ideal,2.11
Very Good,1.5
Fair,2.03
Very Good,2.03
Premium,2.38
Ideal,1.54
Fair,2.5
Good,1.51
Good,1.51
Premium,2.53
Premium,2.04
Premium,2.04
Premium,2.22
Premium,1.26
Premium,2.32
Premium,2.32
Ideal,1.11
Very Good,1.51
Ideal,1.51
Ideal,1.51
Ideal,1.51
Premium,1.51
Premium,1.5
Very Good,1.52
Premium,1.51
Fair,2.03
Ideal,2.2
Ideal,2.16
Ideal,1.52
Very Good,1.52
Premium,1.53
Very Good,2.09
Good,1.51
Very Good,1.51
Premium,1.51
Premium,1.51
Premium,2.33
Very Good,2.02
Very Good,2.16
Premium,2.54
Premium,1.5
Good,2.03
Ideal,1.66
Very Good,2.01
Ideal,2.01
Premium,2.43
Premium,1.71
Very Good,2.23
Ideal,1.51
Very Good,2.18
Ideal,1.24
Very Good,2.11
Ideal,2.3
Good,2.01
Premium,1.5
Very Good,2.58
Premium,1.82
Fair,2.06
Ideal,1.51
Premium,2.01
Ideal,1.5
Premium,2
Very Good,2
Ideal,2.02
Very Good,2.01
Premium,1.51
Premium,2.04
Good,2.55
Ideal,1.74
Very Good,2.25
Ideal,2.04
Ideal,1.62
Ideal,1.51
Ideal,1.52
Good,1.7
Premium,1.5
Premium,2.02
Very Good,2.01
Very Good,2.02
Fair,2.01
Very Good,2.33
Ideal,2.14
Premium,2.06
Very Good,2.04
Very Good,2.01
Very Good,2.01
Very Good,2.01
Ideal,1.8
Premium,1.51
Very Good,2.19
Very Good,2.16
Premium,1.62
Very Good,2.31
Premium,1.61
Ideal,2.01
Premium,2.37
Ideal,2.09
Premium,1.21
Very Good,1.5
Very Good,1.32
Ideal,1.51
Premium,1.51
Premium,1.51
Premium,1.51
Ideal,1.18
Good,1.41
Premium,1.58
Ideal,2.07
Ideal,1.66
Fair,1.7
Premium,2.06
Premium,1.71
Premium,2.23
Ideal,2.18
Premium,1.71
Premium,2.04
Good,2
Ideal,1.51
Very Good,1.51
Premium,1.72
Very Good,1.71
Premium,2.04
Premium,1.79
Very Good,1.51
Ideal,1.52
Premium,2
Premium,2
Good,3
Premium,1.5
Good,2.06
Premium,1.5
Very Good,1.53
Premium,2.08
Ideal,2.07
Very Good,1.41
Good,2.04
Premium,2.27
Very Good,1.51
Premium,2.01
Premium,2.04
Premium,2.08
Premium,2.01
Fair,2.01
Premium,1.82
Premium,1.26
Good,2.01
Ideal,1.56
Ideal,1.8
Premium,1.62
Ideal,1.8
Good,2.01
Premium,2.47
Good,2
Premium,2.05
Fair,2.43
Very Good,1.51
Ideal,1.51
Premium,2.06
Premium,2.06
Ideal,2.01
Good,2.01
Ideal,1.6
Premium,1.54
Ideal,1.19
Premium,2.1
Ideal,1.69
Very Good,1.5
Very Good,1.73
Premium,2.02
Very Good,2.05
Very Good,1.5
Very Good,1.82
Very Good,2
Ideal,1.51
Premium,1.51
Ideal,1.24
Fair,2.48
Premium,2.8
Ideal,1.33
Premium,2.19
Ideal,1.83
Premium,2.09
Ideal,2.1
Ideal,2.07
Very Good,2.01
Ideal,2
Good,2.06
Very Good,2.22
Premium,1.5
Very Good,2
Premium,2.07
Ideal,1.54
Premium,2.2
Very Good,2.02
Ideal,2.08
Premium,2.08
Premium,2.05
Good,2
Ideal,2.33
Very Good,2
Very Good,1.53
Good,1.01
Good,1.01
Very Good,2
Very Good,1.98
Very Good,2.03
Good,1.66
Ideal,2.2
Very Good,2.04
Ideal,2
Good,2.01
Premium,2.03
Premium,2
Premium,2.12
Premium,1.7
Premium,1.5
Very Good,1.7
Premium,2.01
Ideal,1.8
Ideal,1.8
Premium,2.05
Very Good,1.51
Premium,2.13
Premium,1.59
Ideal,2.01
Ideal,1.51
Good,2.07
Very Good,2.35
Ideal,2.16
Very Good,2.01
Ideal,2.08
Ideal,1.4
Premium,2.01
Ideal,1.53
Very Good,2.01
Ideal,2.01
Ideal,2.03
Ideal,1.57
Very Good,2.01
Good,2.01
Premium,2.01
Premium,2.53
Premium,1.73
Fair,1.51
Premium,1.5
Very Good,2.03
Premium,1.82
Ideal,1.51
Premium,1.51
Good,1.48
Very Good,2.16
Premium,2.19
Premium,2.19
Ideal,2.09
Premium,2.1
Premium,1.54
Premium,2.22
Premium,1.54
Premium,2.01
Ideal,1.2
Very Good,2.01
Premium,1.62
Ideal,1.74
Ideal,1.09
Ideal,1.72
Ideal,1.54
Premium,2.11
Premium,2.2
Ideal,1.66
Ideal,1.66
Premium,2
Premium,1.53
Premium,2.04
Ideal,2
Very Good,1.01
Premium,4.01
Premium,4.01
Very Good,1.54
Ideal,1.51
Very Good,1.66
Premium,1.02
Ideal,2.02
Good,2.56
Premium,2.12
Premium,2.2
Premium,1.7
Ideal,1.52
Ideal,0.35
Ideal,0.35
Ideal,0.35
Premium,0.35
Good,0.35
Very Good,0.38
Very Good,0.3
Ideal,0.36
Ideal,0.38
Ideal,0.31
Ideal,0.31
Premium,0.34
Ideal,0.32
Ideal,0.32
Ideal,0.32
Ideal,0.32
Ideal,0.32
Very Good,0.32
Very Good,0.32
Ideal,0.32
Ideal,0.32
Ideal,0.32
Ideal,0.32
Premium,0.32
Very Good,0.32
Ideal,0.32
Premium,0.32
Good,0.32
Very Good,0.32
Ideal,0.32
Premium,1.5
Very Good,1.91
Very Good,2.07
Ideal,2.5
Ideal,1.62
Ideal,1.36
Ideal,1.26
Premium,2.41
Very Good,2
Premium,1.59
Ideal,1.52
Premium,1.51
Ideal,2.19
Good,2.01
Very Good,1.75
Ideal,2
Ideal,2.13
Very Good,1.7
Good,2.02
Very Good,1.52
Ideal,2.03
Ideal,1.53
Premium,1.77
Very Good,1.51
Ideal,1.65
Ideal,2.11
Fair,2.11
Good,2.25
Ideal,2.13
Ideal,2.03
Premium,2.05
Premium,2.05
Premium,1.5
Ideal,1.55
Ideal,1.57
Premium,1.51
Ideal,1.51
Very Good,1.02
Ideal,2.04
Very Good,1.68
Very Good,2
Premium,2
Ideal,2.24
Premium,1.54
Ideal,1.62
Premium,2.41
Premium,2.08
Premium,2.03
Premium,2.31
Premium,1.54
Ideal,2.51
Fair,2
Very Good,1.56
Very Good,2.02
Very Good,2.01
Premium,1.5
Good,2.03
Premium,2.09
Ideal,1.52
Fair,2
Very Good,3.04
Very Good,1.92
Premium,1.53
